epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,0.32006943225860596,0.32006943225860596,0.0
0,,260,1.8517154455184937,1.8517154455184937,0.0,,,
,1.305e-05,261,,,,,,
1,,521,,,,0.08482460677623749,0.08482460677623749,0.0
1,,521,0.17097891867160797,0.17097891867160797,0.0,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.040250737220048904,0.040250737220048904,0.0
2,,782,0.05770641565322876,0.05770641565322876,0.0,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.023415056988596916,0.023415056988596916,0.0
3,,1043,0.031198997050523758,0.031198997050523758,0.0,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.014043023809790611,0.014043023809790611,0.0
4,,1304,0.018396753817796707,0.018396753817796707,0.0,,,
,6.525e-05,1305,,,,,,
