epoch,lr-AdamW,step,train_loss,train_recon_loss,train_space_loss,val_loss,val_recon_loss,val_space_loss
,0.0,0,,,,,,
0,,260,,,,0.32066774368286133,0.32066774368286133,0.0
0,,260,1.8624978065490723,1.8624978065490723,0.0,,,
,1.305e-05,261,,,,,,
1,,521,,,,0.09435848891735077,0.09435848891735077,0.0
1,,521,0.19444683194160461,0.19444683194160461,0.0,,,
,2.61e-05,522,,,,,,
2,,782,,,,0.05033506825566292,0.05033506825566292,0.0
2,,782,0.09344897419214249,0.09344897419214249,0.0,,,
,3.915e-05,783,,,,,,
3,,1043,,,,0.033493321388959885,0.033493321388959885,0.0
3,,1043,0.06933864206075668,0.06933864206075668,0.0,,,
,5.22e-05,1044,,,,,,
4,,1304,,,,0.022812165319919586,0.022812165319919586,0.0
4,,1304,0.055733270943164825,0.055733270943164825,0.0,,,
,6.525e-05,1305,,,,,,
5,,1565,,,,0.017154157161712646,0.017154157161712646,0.0
5,,1565,0.04645274579524994,0.04645274579524994,0.0,,,
,7.83e-05,1566,,,,,,
6,,1826,,,,0.014522592537105083,0.014522592537105083,0.0
6,,1826,0.04185190051794052,0.04185190051794052,0.0,,,
,9.135e-05,1827,,,,,,
7,,2087,,,,0.013358049094676971,0.013358049094676971,0.0
7,,2087,0.03928867727518082,0.03928867727518082,0.0,,,
,9.988717948717949e-05,2088,,,,,,
8,,2348,,,,0.011910817585885525,0.011910817585885525,0.0
8,,2348,0.0376567468047142,0.0376567468047142,0.0,,,
,9.955256410256411e-05,2349,,,,,,
9,,2609,,,,0.011456341482698917,0.011456341482698917,0.0
9,,2609,0.036497440189123154,0.036497440189123154,0.0,,,
,9.921794871794873e-05,2610,,,,,,
10,,2870,,,,0.010550656355917454,0.010550656355917454,0.0
10,,2870,0.03568859025835991,0.03568859025835991,0.0,,,
,9.888333333333334e-05,2871,,,,,,
11,,3131,,,,0.009737606160342693,0.009737606160342693,0.0
11,,3131,0.035023562610149384,0.035023562610149384,0.0,,,
,9.854871794871795e-05,3132,,,,,,
12,,3392,,,,0.010265764780342579,0.010265764780342579,0.0
12,,3392,0.034434724599123,0.034434724599123,0.0,,,
,9.821410256410257e-05,3393,,,,,,
13,,3653,,,,0.009634251706302166,0.009634251706302166,0.0
13,,3653,0.033986467868089676,0.033986467868089676,0.0,,,
,9.787948717948718e-05,3654,,,,,,
14,,3914,,,,0.00961486529558897,0.00961486529558897,0.0
14,,3914,0.0336778499186039,0.0336778499186039,0.0,,,
,9.75448717948718e-05,3915,,,,,,
15,,4175,,,,0.008927946910262108,0.008927946910262108,0.0
15,,4175,0.033311877399683,0.033311877399683,0.0,,,
,9.721025641025642e-05,4176,,,,,,
16,,4436,,,,0.010170862078666687,0.010170862078666687,0.0
16,,4436,0.03330807387828827,0.03330807387828827,0.0,,,
,9.687564102564103e-05,4437,,,,,,
17,,4697,,,,0.00854887068271637,0.00854887068271637,0.0
17,,4697,0.03307393938302994,0.03307393938302994,0.0,,,
,9.654102564102565e-05,4698,,,,,,
18,,4958,,,,0.00914677232503891,0.00914677232503891,0.0
18,,4958,0.03288155421614647,0.03288155421614647,0.0,,,
,9.620641025641026e-05,4959,,,,,,
19,,5219,,,,0.008503042161464691,0.008503042161464691,0.0
19,,5219,0.0327906534075737,0.0327906534075737,0.0,,,
,9.587179487179487e-05,5220,,,,,,
20,,5480,,,,0.008039549924433231,0.008039549924433231,0.0
20,,5480,0.03262240067124367,0.03262240067124367,0.0,,,
,9.553717948717949e-05,5481,,,,,,
21,,5741,,,,0.007998736575245857,0.007998736575245857,0.0
21,,5741,0.03254178166389465,0.03254178166389465,0.0,,,
,9.520256410256411e-05,5742,,,,,,
22,,6002,,,,0.007831605151295662,0.007831605151295662,0.0
22,,6002,0.03230886161327362,0.03230886161327362,0.0,,,
,9.486794871794872e-05,6003,,,,,,
23,,6263,,,,0.007901589386165142,0.007901589386165142,0.0
23,,6263,0.03231582045555115,0.03231582045555115,0.0,,,
