# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = lotka_volterra_model_model
# start_datetime = 2025-07-17 14:32:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /home/jp4474/latent-abc-smc/notebooks_lotka/lotka_volterra_data.json
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = /home/jp4474/latent-abc-smc/notebooks_lotka/output/lotka_volterra_model_samples.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0-rc2-20-g216cb27
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,z_init.1,z_init.2,sigma.1,sigma.2,z_solution.1.1,z_solution.2.1,z_solution.3.1,z_solution.4.1,z_solution.5.1,z_solution.6.1,z_solution.7.1,z_solution.8.1,z_solution.1.2,z_solution.2.2,z_solution.3.2,z_solution.4.2,z_solution.5.2,z_solution.6.2,z_solution.7.2,z_solution.8.2,z.1.1,z.2.1,z.3.1,z.4.1,z.5.1,z.6.1,z.7.1,z.8.1,z.1.2,z.2.2,z.3.2,z.4.2,z.5.2,z.6.2,z.7.2,z.8.2,y_init_rep.1,y_init_rep.2,y_rep.1.1,y_rep.2.1,y_rep.3.1,y_rep.4.1,y_rep.5.1,y_rep.6.1,y_rep.7.1,y_rep.8.1,y_rep.1.2,y_rep.2.2,y_rep.3.2,y_rep.4.2,y_rep.5.2,y_rep.6.2,y_rep.7.2,y_rep.8.2
# Adaptation terminated
# Step size = 0.357685
# Diagonal elements of inverse mass matrix:
# 0.00439122, 0.0188552, 0.0351749, 0.0280063, 0.0662911, 0.0594765
1.8247766,0.91429259,0.35768502,3,7,0,0.063312484,1.0911711,1.0385904,0.91532691,0.40484748,0.44158836,0.6762637,1.8232814,1.3390655,0.35495724,0.54277989,1.8216364,0.54217521,0.51166018,2.0914116,0.62526952,2.1845294,1.3688048,0.50039004,0.62418932,2.0256331,0.52402137,1.061378,1.8232814,1.3390655,0.35495724,0.54277989,1.8216364,0.54217521,0.51166018,2.0914116,0.62526952,2.1845294,1.3688048,0.50039004,0.62418932,2.0256331,0.52402137,1.061378,0.70600367,0.97795981,1.6486742,1.3453309,0.48057377,0.91362429,1.9130247,0.23028492,0.46862354,1.8352795,3.9567671,1.4627061,2.4436155,0.27077553,0.99313548,0.75498472,1.2687968,2.179949
2.7300743,0.95864733,0.35768502,3,15,0,1.334633,1.0647049,0.94954759,1.1227387,0.37579954,0.30171951,0.51704679,2.1593628,1.2544989,0.36360359,0.61182452,2.0615552,0.56633365,0.5401666,2.3218097,0.68549055,2.2822146,1.2416237,0.45316018,0.61298423,1.9996037,0.49879585,0.94037059,2.1593628,1.2544989,0.36360359,0.61182452,2.0615552,0.56633365,0.5401666,2.3218097,0.68549055,2.2822146,1.2416237,0.45316018,0.61298423,1.9996037,0.49879585,0.94037059,1.111815,1.0952822,2.6614867,1.162795,0.35249554,0.52079383,1.7528962,0.58277744,0.19351387,5.9156741,1.6325507,1.5502286,2.0619747,0.28165687,1.1716901,1.1740146,0.46071769,1.7697294
3.7919178,0.99649004,0.35768502,3,7,0,-1.4919684,1.0774363,1.0772264,1.0437449,0.34195542,0.49870922,0.27455117,2.0691515,0.97607686,0.27872726,0.52486447,1.934879,0.43509349,0.44512463,2.1772354,0.71224979,2.4845578,1.1825067,0.41061001,0.59376121,2.0546329,0.4644291,0.90606358,2.0691515,0.97607686,0.27872726,0.52486447,1.934879,0.43509349,0.44512463,2.1772354,0.71224979,2.4845578,1.1825067,0.41061001,0.59376121,2.0546329,0.4644291,0.90606358,1.0386719,0.32734048,4.6629297,0.76683918,0.36851218,0.21216558,1.8409104,0.43791153,1.4424552,2.9141234,1.1477302,2.0655471,0.5588557,0.28865886,0.73502946,1.7761526,0.70576293,0.90145826
4.3084377,0.94649745,0.35768502,4,15,0,-2.4148975,1.0533313,0.95891172,1.1872379,0.35517235,0.42747465,0.30157105,2.253216,1.1201011,0.33870267,0.60669996,2.0946738,0.53799442,0.51141448,2.3354519,0.72423206,2.3530396,1.1731393,0.42193044,0.5933596,2.0140494,0.48145064,0.85046334,2.253216,1.1201011,0.33870267,0.60669996,2.0946738,0.53799442,0.51141448,2.3354519,0.72423206,2.3530396,1.1731393,0.42193044,0.5933596,2.0140494,0.48145064,0.85046334,2.1618903,0.41238116,2.1199675,0.59935685,0.4297528,0.50233308,4.0701161,0.85170774,0.95325581,1.9071605,0.61361467,2.3364784,0.92772615,0.39644834,0.4142182,1.2301667,0.52514131,1.0542506
2.268877,0.48353633,0.35768502,3,15,0,1.5526032,1.1517007,1.0963098,1.1256602,0.28697268,0.38268328,0.33031547,2.4532158,0.64667171,0.19506861,0.49181824,2.2833614,0.26931743,0.39843663,2.5368938,0.82052611,2.9359791,1.0687114,0.33620419,0.62916367,2.0728187,0.38543992,1.1011342,2.4532158,0.64667171,0.19506861,0.49181824,2.2833614,0.26931743,0.39843663,2.5368938,0.82052611,2.9359791,1.0687114,0.33620419,0.62916367,2.0728187,0.38543992,1.1011342,1.1179672,0.29160181,3.7521037,0.6137662,0.30547883,0.23172522,2.182862,0.34812947,0.56586397,3.4818979,0.96511769,4.2111097,1.1617597,0.42560912,1.1561365,1.3405364,0.49028888,0.73724057
3.4423823,0.99771256,0.35768502,3,7,0,-1.0212212,1.0294886,1.1279809,0.98232931,0.36646259,0.39956938,0.32564093,1.8205414,1.0385732,0.31403988,0.51260683,1.670209,0.53108556,0.43152052,1.8639292,0.69123237,2.2072543,1.2071532,0.44440059,0.56255116,2.0153997,0.51453753,0.75040105,1.8205414,1.0385732,0.31403988,0.51260683,1.670209,0.53108556,0.43152052,1.8639292,0.69123237,2.2072543,1.2071532,0.44440059,0.56255116,2.0153997,0.51453753,0.75040105,0.56991132,0.27430056,1.5541702,1.3132088,0.54738238,0.33254145,2.7595439,0.48126757,0.3244523,2.5481826,0.40268944,3.6232663,0.71736871,0.55296487,0.72053342,1.8608791,0.50645976,0.5338913
